,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.58992058  0.52319831 -0.38268071],[0.43058267 0.52036369 0.06972632],[ 0.62606305  0.7870611  -0.48248896],[0.4167262  0.78044868 0.22254635],[ 0.58807117  1.01301503 -0.69282842],[ 0.38318136  0.9712097  -0.02115521],[ 0.55106384  1.01665664 -0.16193619],[0.448899   1.00060093 0.16339518],[ 0.5293684   1.43916202 -0.10121069],[0.42055225 1.41847467 0.34421742],[0.51523352 1.799793   0.26612851],[0.42074117 1.77479053 0.69824946],0,30,Biceps curl
1,[ 0.59247941  0.52328247 -0.34986764],[0.42964107 0.52239043 0.07195645],[ 0.6260851   0.78648645 -0.41538376],[0.40970379 0.77838641 0.22054105],[ 0.58828813  1.01016796 -0.6150744 ],[ 0.37986392  0.97167742 -0.01830443],[ 0.55082375  1.01578021 -0.15162395],[0.45048654 0.99848104 0.15262061],[ 0.53349096  1.41700232 -0.20746262],[0.42726704 1.39901292 0.15288809],[0.52066296 1.75677991 0.18732351],[0.427214   1.74356437 0.41448316],1,30,Biceps curl
2,[ 0.59395981  0.52384162 -0.34973747],[0.4296627  0.52240574 0.07895391],[ 0.6266669   0.78649998 -0.42920071],[0.40860769 0.77594548 0.21923588],[ 0.58799934  1.00512528 -0.64038891],[ 0.37643984  0.97213179 -0.02976759],[ 0.55082566  1.01529038 -0.152531  ],[0.45211461 0.99630839 0.15358754],[ 0.53433615  1.41044915 -0.20185199],[0.42987248 1.38811481 0.20059015],[0.52162009 1.74582088 0.18522127],[0.43008751 1.72650719 0.49521109],2,30,Biceps curl
3,[ 0.59463394  0.52409303 -0.3490302 ],[0.4297508  0.52284527 0.08630212],[ 0.62710083  0.78639513 -0.43600595],[0.40839306 0.77565032 0.21884109],[ 0.58778644  0.9995985  -0.65101355],[ 0.3759298   0.97229278 -0.03940015],[ 0.55082166  1.0147413  -0.15311337],[0.45327619 0.99483043 0.1541875 ],[ 0.53469509  1.40823126 -0.20589086],[0.43057933 1.38619828 0.19634317],[0.52215201 1.74321496 0.18749928],[0.43144432 1.7242713  0.48914275],3,30,Biceps curl
4,[ 0.59530842  0.52408105 -0.33898321],[0.43073103 0.52204281 0.12100906],[ 0.62749583  0.78643507 -0.43385667],[0.40840605 0.76698953 0.26438883],[ 0.58794326  0.99916959 -0.65255606],[0.37511274 0.97162938 0.02634048],[ 0.54980797  1.01476097 -0.15830967],[0.45302922 0.99496222 0.15924467],[ 0.53419149  1.40331519 -0.21814136],[0.4306702  1.38341367 0.22772543],[0.52204138 1.74310839 0.14154813],[0.4313592  1.72434199 0.51664269],4,30,Biceps curl
5,[ 0.59740615  0.52482414 -0.34903878],[0.43107232 0.52081108 0.08543478],[ 0.62750727  0.79027355 -0.43356627],[0.40812191 0.76571447 0.22481556],[ 0.58751065  1.00635099 -0.62201482],[ 0.37485135  0.97161084 -0.00893692],[ 0.54759395  1.01536751 -0.15801385],[0.44997725 0.9955458  0.15893085],[ 0.52798665  1.40489936 -0.20059603],[0.42565829 1.38409746 0.20632747],[0.51535708 1.7466445  0.15727906],[0.42489633 1.72670197 0.46733895],5,30,Biceps curl
6,[ 0.59944427  0.52483213 -0.33689445],[0.43187383 0.52164024 0.10307896],[ 0.62771064  0.79095924 -0.4071078 ],[0.40791127 0.76613098 0.24646924],[ 0.58606893  1.0063591  -0.60241759],[0.37485331 0.97022885 0.00798044],[ 0.54753995  1.01678574 -0.15742117],[0.44937176 0.9957307  0.15834074],[ 0.52716202  1.40890026 -0.18950704],[0.42534307 1.38564336 0.19260301],[0.51331347 1.74960566 0.18840958],[0.42393932 1.72932637 0.46162465],6,30,Biceps curl
7,[ 0.60150772  0.52596951 -0.32430649],[0.43297276 0.52561516 0.11587273],[ 0.62903345  0.79149616 -0.41636199],[0.40786237 0.77672046 0.24450454],[ 0.58582228  1.00580239 -0.6093443 ],[0.37078732 0.96918631 0.0076104 ],[ 0.55286032  1.01751852 -0.15529104],[0.45088297 0.99608278 0.15623741],[ 0.53148401  1.40986037 -0.24832495],[0.42703781 1.38590503 0.2022101 ],[0.51842934 1.74944186 0.13154317],[0.42696169 1.7289803  0.50046909],7,30,Biceps curl
8,[ 0.60319918  0.52593702 -0.33202657],[0.4339183  0.52555573 0.0741298 ],[ 0.62986791  0.79161495 -0.40178093],[0.40793413 0.77844262 0.1943952 ],[ 0.58430988  1.00580204 -0.59891307],[ 0.36898312  0.96616358 -0.0745578 ],[ 0.55398089  1.01722372 -0.14912264],[0.45128295 0.99612236 0.15008818],[ 0.53147417  1.40946615 -0.22117922],[0.42479053 1.38250816 0.17770304],[0.51829278 1.74857998 0.15759568],[0.4228462  1.7236284  0.45981172],8,30,Biceps curl
9,[ 0.60552067  0.52745944 -0.32752964],[0.43471116 0.53310984 0.06506378],[ 0.63063109  0.79606903 -0.40456694],[0.4073537  0.78611314 0.18049659],[ 0.583992    1.00414991 -0.59995729],[ 0.36050907  0.9645251  -0.09539583],[ 0.55636764  1.01725495 -0.13665806],[0.45135072 0.99672842 0.13758609],[ 0.53310639  1.40992796 -0.21470992],[0.42479697 1.38288057 0.15362495],[0.52235115 1.74964821 0.14814435],[0.42395553 1.72440517 0.41064727],9,30,Biceps curl
