,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.55263489  0.09716375 -0.06690731],[ 0.43434942  0.077191   -0.15857624],[0.56809044 0.25730485 0.00370927],[ 0.42492667  0.22638607 -0.10941127],[ 0.5874992   0.38919273 -0.10890026],[ 0.42613983  0.36287454 -0.18020767],[0.51818126 0.37955177 0.03480447],[ 0.46939105  0.3818514  -0.0348657 ],[5.24653077e-01 6.23651028e-01 1.36541916e-04],[ 0.46004501  0.62143266 -0.0592036 ],[0.52257138 0.84298694 0.17214169],[0.46630144 0.8469671  0.10977741],0,0,Deadlift
1,[ 0.55407774  0.09580991 -0.16983838],[ 0.4351238   0.07055562 -0.29389134],[ 0.56845576  0.25691447 -0.06048886],[ 0.42497545  0.2272855  -0.24419007],[ 0.58857018  0.38959169 -0.19475143],[ 0.42551672  0.36231366 -0.35376146],[0.52284646 0.38117644 0.04415533],[ 0.46699131  0.38213903 -0.04423252],[0.52882665 0.62100661 0.00277537],[ 0.4600454   0.62184042 -0.0613708 ],[0.5279029  0.84154159 0.22442824],[0.46529976 0.84427983 0.14088434],1,0,Deadlift
2,[ 0.55514497  0.09579314 -0.21435755],[ 0.4353705   0.06753846 -0.34665367],[ 0.56871355  0.25739101 -0.09260099],[ 0.42491382  0.22794093 -0.29678309],[ 0.58860207  0.38976744 -0.21989121],[ 0.42419785  0.36200932 -0.41271484],[0.52683747 0.38250959 0.04727342],[ 0.46448797  0.38233817 -0.04732429],[0.53009719 0.62094414 0.0007264 ],[ 0.45933229  0.62329549 -0.06825347],[0.53058845 0.84068435 0.22503558],[0.46315807 0.84257078 0.14128447],2,0,Deadlift
3,[ 0.55637997  0.09619711 -0.22523154],[ 0.43560907  0.06656291 -0.35490003],[ 0.56962097  0.2596229  -0.10284379],[ 0.42486173  0.22965513 -0.30312124],[ 0.58869177  0.39221263 -0.2292524 ],[ 0.42301938  0.36225992 -0.41866675],[0.52771264 0.3829231  0.04772412],[ 0.46259096  0.38245404 -0.04777375],[ 0.53055418  0.62088257 -0.00322878],[ 0.45865628  0.62447935 -0.06749332],[0.53205955 0.83998531 0.2280551 ],[0.46271646 0.84261006 0.1500316 ],3,0,Deadlift
4,[ 0.55730778  0.0963383  -0.24836038],[ 0.4357838   0.06599289 -0.36572278],[ 0.570476    0.26072237 -0.12745133],[ 0.42482427  0.2307009  -0.30889246],[ 0.58891743  0.39362246 -0.2509982 ],[ 0.42251641  0.36255619 -0.42592806],[0.52831841 0.38306156 0.04724602],[ 0.46199718  0.38246316 -0.04728625],[ 0.53094834  0.62008369 -0.00755623],[ 0.45818698  0.6248945  -0.07436915],[0.53206992 0.83976287 0.22103359],[0.46248832 0.84254295 0.14210303],4,0,Deadlift
5,[ 0.55873245  0.09705039 -0.28166449],[ 0.43602476  0.06547331 -0.38178068],[ 0.57093686  0.26323399 -0.16188052],[ 0.42436278  0.23102131 -0.31890818],[ 0.58904654  0.39563069 -0.28493303],[ 0.42175537  0.36265004 -0.43903044],[0.52832395 0.38313746 0.04655752],[ 0.46157131  0.38245508 -0.04656595],[ 0.53113478  0.61997253 -0.01947495],[ 0.45753315  0.62534237 -0.07683028],[0.53231877 0.83977127 0.2150107 ],[0.46242577 0.84296697 0.1400295 ],5,0,Deadlift
6,[ 0.56079024  0.10006407 -0.29600275],[ 0.43605822  0.06573439 -0.38467905],[ 0.57128638  0.26676351 -0.17816989],[ 0.42384845  0.23234463 -0.31433597],[ 0.58904773  0.39949191 -0.29491186],[ 0.42060229  0.36687097 -0.43014467],[0.52796179 0.38556951 0.04558599],[ 0.45966777  0.38375708 -0.04558261],[ 0.53157777  0.62000912 -0.02390593],[ 0.45628339  0.62549561 -0.09162474],[0.53274399 0.83980173 0.21299578],[0.46215722 0.84344018 0.1350805 ],6,0,Deadlift
7,[ 0.56276065  0.10431328 -0.29698008],[ 0.43606371  0.06593035 -0.38849562],[ 0.57180482  0.27088484 -0.17746149],[ 0.42307827  0.23326196 -0.31624833],[ 0.58903867  0.4022789  -0.29449046],[ 0.41948879  0.36904481 -0.43145263],[0.52770394 0.38975769 0.04513838],[ 0.45775649  0.38733077 -0.0451256 ],[ 0.5319761   0.62002259 -0.02071566],[ 0.45517874  0.625687   -0.09126379],[0.53392285 0.83984393 0.22470507],[0.46164194 0.84371477 0.13642497],7,0,Deadlift
8,[ 0.56424838  0.10560187 -0.28087914],[ 0.43608415  0.06604248 -0.38030779],[ 0.57218742  0.27374363 -0.16518694],[ 0.4222028   0.23658887 -0.31723109],[ 0.58889544  0.40762025 -0.28472492],[ 0.41793501  0.37351465 -0.43265384],[0.52703321 0.39223656 0.04480842],[ 0.4560819   0.38876954 -0.04480558],[ 0.53190148  0.62005651 -0.01829108],[ 0.45373514  0.62631541 -0.08978115],[0.53429985 0.84007812 0.23030673],[0.46130878 0.8440702  0.13787556],8,0,Deadlift
9,[ 0.56452155  0.10761951 -0.26914784],[ 0.43609509  0.06683416 -0.37381834],[ 0.57226467  0.27613428 -0.14860721],[ 0.42158678  0.23924108 -0.30956262],[ 0.58888996  0.40874147 -0.26814398],[ 0.4175382   0.37677497 -0.42603502],[0.5268265  0.39780128 0.04455967],[ 0.4555054   0.39296114 -0.0445614 ],[ 0.53182238  0.6223194  -0.01089786],[ 0.45312902  0.62713391 -0.09260615],[0.53415036 0.84080797 0.23746487],[0.46041515 0.84415811 0.13437943],9,0,Deadlift
