,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.408683    0.47446448 -0.08814232],[ 0.61739248  0.4805907  -0.07756403],[ 0.2367705   0.50835162 -0.00973594],[ 0.77859533  0.50177407 -0.01046942],[0.26748699 0.58833981 0.18184575],[0.76603121 0.59549892 0.10543826],[ 0.45273754  0.92661494 -0.05561828],[0.55329293 0.93315518 0.05546755],[0.44330245 0.81445032 0.40548086],[0.55829465 0.96649206 0.47292441],[0.46709493 0.97353268 0.88662839],[0.57135099 1.01668108 1.0167464 ],0,120,Push-up
1,[0.40309951 0.47487444 0.06305409],[0.6173889  0.48012215 0.10258391],[0.22549152 0.50882363 0.15328421],[0.78403974 0.50177604 0.20902415],[0.26747853 0.59133571 0.37241575],[0.76431817 0.59763944 0.4110629 ],[ 0.45144895  0.95460826 -0.07268793],[0.55600697 0.95644385 0.07257839],[0.43803924 0.85457295 0.36198837],[0.56044334 1.01974475 0.50433654],[0.46623278 1.05007792 0.82530886],[0.57186455 1.1301837  0.95906395],1,120,Push-up
2,[0.40145811 0.47491184 0.07390964],[0.61743033 0.48045111 0.1225334 ],[0.22304519 0.50827712 0.19175886],[0.78595936 0.50120229 0.24260764],[0.26777941 0.6029551  0.46569401],[0.758255   0.59164006 0.46510366],[ 0.45111957  0.97094083 -0.08333024],[0.55843204 0.96817762 0.08310565],[0.43768805 0.87993628 0.31144616],[0.56587154 1.02337074 0.49850386],[0.46638405 1.0455538  0.75508523],[0.57572961 1.103773   0.90266997],2,120,Push-up
3,[0.40101144 0.47575888 0.05560761],[0.61768073 0.48046735 0.11261832],[0.22126436 0.50820065 0.2019576 ],[0.79060447 0.50132662 0.27039468],[0.26808822 0.60595238 0.5325045 ],[0.75390178 0.59173018 0.56676948],[ 0.45094049  0.98492354 -0.08743545],[0.56036645 0.97586805 0.08711465],[0.44229662 0.8822459  0.29862794],[0.57365102 1.01359236 0.49536893],[0.4808659  1.03161514 0.72577929],[0.58155429 1.08223629 0.87621522],3,120,Push-up
4,[0.40050998 0.47620365 0.03571422],[0.61782795 0.48039523 0.11937127],[0.21996652 0.50769687 0.18300702],[0.7962414  0.50108916 0.28969213],[0.27007502 0.61548877 0.53331399],[0.75042069 0.59261203 0.59817851],[ 0.45064574  0.99584055 -0.09171139],[0.56157374 0.9842841  0.09135209],[0.45018578 0.88608491 0.25805816],[0.57919496 1.02381063 0.45788199],[0.48360136 1.02437258 0.63543445],[0.5843069  1.07383621 0.77942234],4,120,Push-up
5,[0.40062383 0.47613063 0.0361729 ],[0.61993325 0.48026621 0.13899881],[0.21974678 0.50596052 0.19587435],[0.80095261 0.50105494 0.33267719],[0.27076882 0.62081569 0.56892246],[0.74406987 0.59286326 0.68876469],[ 0.45035738  1.00242794 -0.09786641],[0.56432903 0.98610151 0.0974577 ],[0.45960799 0.87885076 0.25970367],[0.58258611 1.02066147 0.46194187],[0.49806657 1.00811517 0.64383668],[0.58844489 1.04175878 0.79638261],5,120,Push-up
6,[0.4004038  0.47606584 0.03683294],[0.61991018 0.48057815 0.13981108],[0.21975279 0.50343996 0.19354382],[0.80363804 0.5016911  0.32737723],[0.27258873 0.62203473 0.56804436],[0.74485403 0.58759367 0.69715333],[ 0.44932327  1.00672746 -0.1005571 ],[0.56462389 0.99033201 0.10019954],[0.4667179  0.87588608 0.20992497],[0.58386987 0.98882741 0.42532521],[0.51249212 0.97881049 0.52764267],[0.59603882 0.98229855 0.68764114],6,120,Push-up
7,[0.40049309 0.47614327 0.02679934],[0.61990029 0.48154229 0.11824511],[0.2199889  0.50241578 0.18736888],[0.81077188 0.50198448 0.31927961],[0.27796379 0.62197775 0.5926376 ],[0.738837   0.58766401 0.7090975 ],[ 0.44831368  1.00833941 -0.10329545],[0.5646717  0.99778044 0.10287176],[0.46823317 0.87388903 0.22470863],[0.58354193 0.96465462 0.4391183 ],[0.51571578 0.94308656 0.58108556],[0.59380025 0.94203889 0.76560992],7,120,Push-up
8,[0.40026194 0.47663754 0.01977198],[0.61972821 0.48327824 0.11618374],[0.22049026 0.50188428 0.16790098],[0.8116436  0.50153315 0.31020015],[0.27896059 0.62110972 0.53373379],[0.73599023 0.58223426 0.70261127],[ 0.44778043  1.01714611 -0.10117666],[0.56448042 1.01068091 0.10072948],[0.47422487 0.87125987 0.1601059 ],[0.58465135 0.96466255 0.36530575],[0.52577764 0.94169468 0.40144235],[0.59289378 0.94841331 0.56491935],8,120,Push-up
9,[0.40063849 0.47744128 0.01723356],[0.61983842 0.48340979 0.09246717],[0.22153345 0.50066894 0.15820342],[0.81315321 0.50157738 0.27163264],[0.28086045 0.61965263 0.49645227],[0.73338228 0.58177966 0.65262735],[ 0.44779405  1.02411377 -0.08404173],[0.56432265 1.01695204 0.08341608],[0.47687    0.86940533 0.17448729],[0.58564985 0.96691734 0.33474547],[0.5309034  0.94797081 0.4189755 ],[0.59199661 0.96275163 0.53173536],9,120,Push-up
