,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[0.62050563 0.5811848  0.06456669],[0.55630809 0.53953403 0.23224071],[ 0.61638314  0.5558883  -0.09407186],[0.49894276 0.4898538  0.22539023],[ 0.62778294  0.45709643 -0.21743812],[0.4816345  0.37035292 0.16829702],[ 0.49824676  0.62843645 -0.06948885],[0.47348702 0.61136031 0.06909072],[ 0.59672284  0.52572268 -0.13498227],[0.54102647 0.50290465 0.1878406 ],[ 0.60198987  0.41477802 -0.18011007],[0.57217163 0.43403727 0.19866262],0,240,Incline bench press
1,[0.61576772 0.56838542 0.03142825],[0.56404787 0.56228197 0.20919394],[ 0.59132558  0.4939954  -0.09389727],[0.4992092  0.49795866 0.20559584],[ 0.60886455  0.40679964 -0.17460831],[0.48164746 0.38329923 0.1517951 ],[ 0.49853888  0.62828165 -0.06618444],[0.47501552 0.63622665 0.0658418 ],[ 0.59584731  0.52015889 -0.09623829],[0.51766998 0.56909949 0.1228497 ],[ 0.59752953  0.40418488 -0.1449552 ],[0.52146703 0.4973284  0.12799808],1,240,Incline bench press
2,[0.6080277  0.56801093 0.06927206],[0.562379   0.56343365 0.24131529],[ 0.58103263  0.51201487 -0.05397793],[0.49923143 0.5127809  0.22381125],[ 0.59293753  0.42285892 -0.15781468],[0.48164991 0.39447337 0.15434694],[ 0.49580419  0.62911987 -0.06349088],[0.47003743 0.63451415 0.06318614],[ 0.59684026  0.54125941 -0.10936018],[0.50743109 0.59170246 0.12671003],[ 0.5944311   0.4262597  -0.22413811],[0.51053184 0.52194935 0.10085876],2,240,Incline bench press
3,[0.60776299 0.56850058 0.0732472 ],[0.56192213 0.57080835 0.25217313],[ 0.58780944  0.53444731 -0.05357368],[0.49905646 0.52242106 0.22971538],[ 0.59392947  0.47838846 -0.14977275],[0.48029339 0.40592861 0.15320016],[ 0.49266446  0.63580996 -0.06374388],[0.46733761 0.64631742 0.06343898],[ 0.58544052  0.56242269 -0.07836374],[0.51491874 0.61222762 0.12587772],[ 0.58231449  0.47522652 -0.1027173 ],[0.52540576 0.52419996 0.11904904],3,240,Incline bench press
4,[0.59219664 0.58967203 0.05068452],[0.553927   0.56908453 0.21133667],[ 0.5647105   0.54878777 -0.04417812],[0.49687162 0.52795619 0.21806325],[ 0.58599842  0.47120881 -0.10763407],[0.47975224 0.41377068 0.13986683],[ 0.47394982  0.64302647 -0.05951304],[0.45794231 0.64085239 0.05911297],[ 0.49015647  0.55763692 -0.09512333],[0.45716143 0.60066235 0.12658364],[ 0.44295385  0.60960209 -0.10298803],[0.42261201 0.62895048 0.05090204],4,240,Incline bench press
5,[0.59485912 0.5992803  0.15291782],[0.54980814 0.58302909 0.29903629],[0.57937449 0.59017676 0.00127496],[0.4961513  0.5414964  0.26669085],[ 0.59729469  0.48889512 -0.11413645],[0.48024306 0.42597347 0.16371685],[ 0.47918466  0.65803164 -0.05084556],[0.45962828 0.6576618  0.05033862],[ 0.50747001  0.57706463 -0.09448646],[0.46842363 0.63414735 0.08919839],[ 0.46817556  0.6047197  -0.13048591],[4.47482377e-01 6.36510849e-01 1.73455293e-04],5,240,Incline bench press
6,[0.59822172 0.60066038 0.13213739],[0.54472488 0.58081055 0.29802814],[ 0.60319614  0.61609775 -0.01690589],[0.49379855 0.54247671 0.25008008],[ 0.60221177  0.51574922 -0.12459743],[0.4803623  0.42820993 0.17519695],[ 0.48227516  0.66160142 -0.04451068],[0.45809922 0.6501714  0.04399357],[ 0.57968324  0.58797169 -0.06745049],[0.53686637 0.60301572 0.11102775],[ 0.57844675  0.54345077 -0.08407437],[0.56622368 0.57496053 0.05129679],6,240,Incline bench press
7,[0.60080719 0.59790504 0.14043781],[0.54633397 0.57711458 0.27088454],[ 0.60210311  0.63441175 -0.00866166],[0.49395931 0.55004078 0.24487241],[ 0.59954494  0.53539026 -0.1174271 ],[0.4803738  0.43965963 0.16088825],[ 0.48394281  0.66229618 -0.04571499],[0.45975193 0.65003514 0.04520702],[ 0.54166597  0.5820688  -0.08309685],[0.50462478 0.6151799  0.10138144],[ 0.50856131  0.60478371 -0.10556971],[0.4939431  0.62156534 0.02792596],7,240,Incline bench press
8,[0.60562879 0.60011166 0.12593313],[0.54742622 0.57273751 0.21739514],[ 0.61182672  0.65468001 -0.02604348],[0.49421337 0.55284703 0.19782607],[ 0.60038161  0.54085785 -0.11876416],[0.48042905 0.44556013 0.09501346],[ 0.48495859  0.67291939 -0.04094942],[0.46059832 0.65038401 0.04052008],[ 0.53204787  0.58537942 -0.04366012],[0.49803802 0.60142022 0.10025851],[ 0.47407076  0.61705422 -0.0393107 ],[0.46088114 0.61960346 0.05947047],8,240,Incline bench press
9,[0.60636008 0.59854102 0.08073317],[0.55282986 0.5717907  0.18817939],[ 0.60140431  0.65166295 -0.02662423],[0.49545673 0.55781412 0.17080352],[ 0.59357399  0.54065746 -0.11040213],[0.48380926 0.45620918 0.09030017],[ 0.48365313  0.67509049 -0.03648275],[0.46120441 0.65592074 0.0360018 ],[ 0.53973562  0.58122283 -0.02701308],[0.51015699 0.60559404 0.07255281],[ 0.48446438  0.60091531 -0.04687783],[0.48011616 0.60830534 0.04557342],9,240,Incline bench press
10,[0.60833752 0.59762669 0.0653807 ],[0.56043667 0.56964481 0.19510356],[ 0.59599334  0.64744633 -0.06039353],[0.49574301 0.56029636 0.18408392],[ 0.59283608  0.53290427 -0.13256957],[0.48367289 0.45622775 0.10930567],[ 0.48370838  0.67811155 -0.04044838],[0.46237004 0.66239017 0.03997614],[ 0.54419988  0.57959211 -0.04839692],[0.52190959 0.61493868 0.07426003],[ 0.49698359  0.60121477 -0.07705349],[0.48992065 0.61398673 0.03308567],10,240,Incline bench press
