,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.32110146  0.33709437 -0.2063663 ],[ 0.51145649  0.35049275 -0.2505872 ],[ 0.27467147  0.1467694  -0.14442688],[ 0.59851921  0.1696732  -0.27252209],[ 0.26594114 -0.07925665 -0.17254861],[ 0.63925725 -0.11211079 -0.38013995],[0.36319098 0.8175565  0.01180172],[ 0.47523949  0.82357717 -0.01222625],[0.35599312 0.59363317 0.38924405],[0.51448393 0.59122849 0.38747099],[0.44720024 0.52382028 0.88878512],[0.52992612 0.54507917 0.85734308],0,210,Lat pulldown
1,[ 0.32060093  0.33660051 -0.15599662],[ 0.51147479  0.3470386  -0.2369725 ],[ 0.27053073  0.14611071 -0.04229032],[ 0.59846205  0.16681315 -0.19367068],[ 0.26049936 -0.06923785 -0.02865381],[ 0.63915879 -0.12580791 -0.18298697],[0.36234683 0.82773817 0.00902265],[ 0.47514734  0.82728761 -0.00953329],[0.3417863  0.61762518 0.41256192],[0.51499236 0.59860647 0.4473052 ],[0.4245981  0.58249986 0.93196946],[0.51091081 0.55944991 0.97152597],1,210,Lat pulldown
2,[ 0.32014099  0.33721313 -0.16436   ],[ 0.51172799  0.34431291 -0.2345268 ],[ 0.26882228  0.14616871 -0.06998594],[ 0.59909719  0.16099176 -0.19470763],[ 0.25676382 -0.06667291 -0.07764922],[ 0.63865399 -0.1323165  -0.21563508],[0.36249936 0.82925087 0.00652174],[ 0.47570422  0.82746005 -0.00712571],[0.35912788 0.61534584 0.41527429],[0.51384568 0.61309332 0.44591168],[0.42247167 0.5766601  0.93560314],[0.5018667  0.55887264 0.96691906],2,210,Lat pulldown
3,[ 0.31993529  0.33809027 -0.12564108],[ 0.51187277  0.34413216 -0.23195997],[0.26969546 0.15994337 0.05272257],[ 0.59907925  0.16247346 -0.14212294],[ 0.25507018 -0.00056103  0.12655726],[ 0.63840491 -0.13112064 -0.04703218],[0.36250171 0.83551747 0.00662492],[ 0.47589239  0.83280092 -0.00723102],[0.33841562 0.64510411 0.43110663],[0.51388437 0.64104623 0.44547853],[0.41765401 0.66472048 0.94317317],[0.50273913 0.63947999 0.95491844],3,210,Lat pulldown
4,[ 0.31935611  0.33948296 -0.13197978],[ 0.51200348  0.34419209 -0.22961695],[0.27125108 0.17944714 0.04213995],[ 0.59989089  0.16929768 -0.12245002],[0.25538191 0.04846184 0.11325219],[ 0.63839537 -0.12964316 -0.02206445],[0.36205271 0.83830756 0.00320012],[ 0.47584262  0.83931285 -0.00392134],[0.33062202 0.67648894 0.43374136],[0.51062554 0.668046   0.45810843],[0.41098452 0.68374938 0.93949139],[0.49788886 0.65810198 0.96317255],4,210,Lat pulldown
5,[ 0.31830555  0.34012431 -0.1363802 ],[ 0.51201141  0.34438497 -0.22928551],[0.27274439 0.18913777 0.03901948],[ 0.60018504  0.17432356 -0.11165551],[0.25760487 0.05151685 0.10732548],[ 0.63829583 -0.12773277 -0.00313786],[0.36203381 0.83877325 0.00184963],[ 0.47656327  0.83951634 -0.00259926],[0.33089748 0.6716696  0.44198126],[0.51044774 0.67127776 0.47215039],[0.41211805 0.68621415 0.95513576],[0.49981001 0.66265649 0.98786491],5,210,Lat pulldown
6,[ 0.31701061  0.3415446  -0.14313041],[ 0.51207834  0.34533465 -0.22958395],[0.27105916 0.1861454  0.00779965],[ 0.6039775   0.17596385 -0.14009722],[0.2573553  0.03247413 0.05127562],[ 0.63828444 -0.13035704 -0.07549724],[0.36180699 0.83919728 0.00188598],[ 0.47684202  0.83922327 -0.00261569],[0.33308047 0.67203856 0.44806492],[0.51009184 0.66681683 0.46474838],[0.41441908 0.67428339 0.9667362 ],[0.50140607 0.65444344 0.97891259],6,210,Lat pulldown
7,[ 0.31591049  0.34331322 -0.14652352],[ 0.5122363   0.35167614 -0.23467806],[ 0.26640642  0.18645111 -0.00860295],[ 0.60925102  0.18559891 -0.1464826 ],[0.25747481 0.02216007 0.02387359],[ 0.63899904 -0.12460998 -0.07813244],[0.36011982 0.8409639  0.00196483],[ 0.47657689  0.83959752 -0.00269453],[0.32840335 0.67846715 0.44614246],[0.51013684 0.66404355 0.46634257],[0.41455942 0.69663662 0.9643482 ],[0.50253278 0.66888374 0.98487145],7,210,Lat pulldown
8,[ 0.313885    0.34390905 -0.15371902],[ 0.5122636   0.3636139  -0.24139217],[ 0.2599518   0.18701868 -0.01584888],[ 0.61056268  0.20666301 -0.14748272],[0.25547796 0.0291725  0.01331898],[ 0.64000136 -0.108562   -0.07808646],[0.35922378 0.8423329  0.00208324],[ 0.47643572  0.8421216  -0.00284795],[0.32051188 0.68523538 0.44861332],[0.51198584 0.6671015  0.46726257],[0.41533381 0.70991367 0.96219105],[0.50278765 0.68444008 0.98368251],8,210,Lat pulldown
9,[ 0.31120956  0.34498075 -0.15401317],[ 0.51186782  0.3760483  -0.23776673],[0.25713232 0.19555676 0.01803249],[ 0.6111629   0.23451686 -0.09756087],[0.25517017 0.03576992 0.10095661],[ 0.64082074 -0.07275057  0.02882205],[0.35773772 0.84600544 0.00218106],[ 0.47459894  0.84778237 -0.00295268],[0.31493464 0.68723094 0.45423889],[0.51327306 0.67036486 0.46383637],[0.41595021 0.71972167 0.96244246],[0.50364047 0.6932382  0.97473335],9,210,Lat pulldown
