,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.42287043  0.54370999 -0.25688371],[ 0.40084931  0.46837708 -0.26446411],[ 0.41279423  0.5735687  -0.16545717],[ 0.37484008  0.43838036 -0.16563593],[ 0.39664996  0.58310688 -0.1118601 ],[ 0.36323458  0.46007535 -0.11299909],[0.3719669  0.45997852 0.002287  ],[ 0.36584616  0.42874241 -0.0021783 ],[0.36230421 0.45598441 0.19035357],[0.34991065 0.4412778  0.19517319],[0.35258132 0.43537754 0.40716583],[0.33922341 0.42703205 0.40397587],0,180,Bench press
1,[ 0.43051961  0.50888163 -0.27191231],[ 0.37081915  0.52207327 -0.30356836],[ 0.4400619   0.5082708  -0.14691924],[ 0.32367611  0.52981859 -0.21061435],[ 0.44509965  0.55970883 -0.05991191],[ 0.31918585  0.57943803 -0.1867796 ],[0.35723108 0.45352861 0.00581423],[ 0.33695471  0.44539016 -0.00578711],[0.31075639 0.45083901 0.19033121],[0.29918799 0.45523816 0.19110185],[0.27333298 0.42353511 0.43184736],[0.27552989 0.44113177 0.42547712],1,180,Bench press
2,[ 0.32531098  0.56740057 -0.62583548],[ 0.473445    0.53057468 -0.5507291 ],[ 0.24198849  0.43134725 -0.58693707],[ 0.51247776  0.43620753 -0.34302422],[ 0.19083668  0.25266093 -0.61931556],[ 0.48097697  0.36691245 -0.15455517],[ 0.35203674  0.48989508 -0.01709351],[0.4400894  0.4606809  0.01718133],[0.31722391 0.4802905  0.34104511],[0.49253082 0.33441329 0.24391337],[0.31013259 0.4148401  0.76039636],[0.54344887 0.18922031 0.52609676],2,180,Bench press
3,[ 0.32104042  0.56519407 -0.60450566],[ 0.47342318  0.53041351 -0.51657355],[ 0.22059037  0.42247868 -0.5600698 ],[ 0.52389842  0.40605202 -0.30258805],[ 0.19178389  0.21266069 -0.59606814],[ 0.49672568  0.39403665 -0.12880519],[ 0.33938968  0.48960739 -0.01682779],[0.43269965 0.45846769 0.01694355],[0.3189413  0.49478087 0.34403276],[0.48076537 0.35893318 0.29072115],[0.33404896 0.42790979 0.76067293],[0.52144915 0.26463291 0.59317571],3,180,Bench press
4,[ 0.31680593  0.56522381 -0.57993203],[ 0.47535354  0.52393287 -0.54736483],[ 0.21402155  0.42325374 -0.54015666],[ 0.53740871  0.38712856 -0.44408497],[ 0.19419701  0.21686482 -0.59073532],[ 0.54352188  0.21738261 -0.41906059],[0.33776176 0.49599123 0.00051754],[ 4.32656974e-01  4.58792269e-01 -3.54662101e-04],[0.31058651 0.47653985 0.37486947],[0.45317781 0.37847859 0.3452886 ],[0.33118746 0.42882037 0.79374504],[0.44913819 0.32421705 0.72659612],4,180,Bench press
5,[ 0.31097642  0.55544466 -0.5867036 ],[ 0.47634539  0.51987427 -0.55971819],[ 0.20982584  0.4208014  -0.54467034],[ 0.53982943  0.38488925 -0.44760895],[ 0.19439194  0.2096684  -0.59760112],[ 0.54735374  0.19807339 -0.42131522],[0.33169237 0.48424891 0.00325969],[ 0.43197122  0.44437635 -0.00317576],[0.30560958 0.45457542 0.41436577],[0.46032393 0.3720935  0.32352132],[0.3154349  0.42566219 0.85787702],[0.47707382 0.28457737 0.66734123],5,180,Bench press
6,[ 0.308364    0.55379611 -0.57182842],[ 0.47728598  0.51987958 -0.53797257],[ 0.20717444  0.42878267 -0.52639282],[ 0.54397523  0.39161423 -0.46764061],[ 0.19562672  0.21539089 -0.56074739],[ 0.54561049  0.20361751 -0.51008725],[ 0.32904878  0.47010681 -0.00048623],[0.42306703 0.43866768 0.00057252],[0.30917844 0.43987611 0.38849366],[0.41310608 0.39749447 0.38350168],[0.32794324 0.42507237 0.84192246],[0.39204106 0.399896   0.78590554],6,180,Bench press
7,[ 0.30487379  0.5529474  -0.58386236],[ 0.47715881  0.5199374  -0.55748296],[ 0.20000881  0.44381925 -0.52480823],[ 0.54735738  0.39709273 -0.48164207],[ 0.19529229  0.24541502 -0.54233247],[ 0.54463929  0.21797207 -0.49277014],[ 0.32506612  0.46778998 -0.00131452],[0.42002684 0.43293554 0.00140167],[0.30293563 0.44381934 0.38258833],[0.41042799 0.38880408 0.38826847],[0.32490358 0.41957068 0.81148106],[0.39464849 0.36137134 0.7846514 ],7,180,Bench press
8,[ 0.30441591  0.55421579 -0.54642558],[ 0.47712666  0.51867771 -0.53103763],[ 0.19735602  0.44838524 -0.46840844],[ 0.55067277  0.40365463 -0.44581041],[ 0.19848384  0.24778275 -0.47020921],[ 0.54229486  0.22606422 -0.45227602],[ 0.32342944  0.45393917 -0.00174652],[0.41768143 0.4187904  0.00183422],[0.31012672 0.43168449 0.37397942],[0.40171263 0.38773426 0.38418722],[0.338815   0.41512877 0.78282869],[0.39059556 0.38961893 0.78452009],8,180,Bench press
9,[ 0.30357009  0.55556762 -0.52491772],[ 0.477101    0.51651627 -0.5197652 ],[ 0.19646463  0.4625062  -0.44593653],[ 0.55239218  0.41588739 -0.43069565],[ 0.19821708  0.26400143 -0.45964843],[ 0.55034715  0.24607402 -0.42512882],[ 3.26225281e-01  4.42632496e-01 -2.84003268e-04],[4.17446077e-01 4.06461924e-01 3.37681588e-04],[0.31037384 0.42233723 0.37239599],[0.4148863  0.38131157 0.37413415],[0.33316544 0.4097521  0.77694815],[0.40576822 0.36687049 0.76322043],9,180,Bench press
