,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[ 0.58768463  0.31168464 -0.79815859],[ 0.35611767  0.29500991 -0.80344146],[ 0.63320261  0.59974861 -0.83585304],[ 0.32362011  0.59617144 -0.84898889],[ 0.64341772  0.89689165 -0.957573  ],[ 0.31592566  0.89045197 -0.95809817],[ 0.54229981  0.62032723 -0.00430259],[0.42558277 0.60913718 0.00376099],[0.54578096 0.66036785 0.62174523],[0.42400834 0.67485118 0.60614622],[0.54607713 0.61191517 1.31185067],[0.44803131 0.5997293  1.3009671 ],0,90,Push-up
1,[ 0.58781064  0.31697166 -0.7954703 ],[ 0.35616049  0.30596361 -0.801292  ],[ 0.63973695  0.60052854 -0.82149476],[ 0.31420386  0.59904617 -0.84250671],[ 0.64341074  0.89498895 -0.95571309],[ 0.31486765  0.8904978  -0.95790976],[ 0.54256552  0.62534136 -0.00591769],[0.42661527 0.60982007 0.00534238],[0.54219544 0.66001761 0.6284467 ],[0.42259976 0.66511917 0.63553303],[0.52642357 0.61382854 1.35216033],[0.43839532 0.60125023 1.34499419],1,90,Push-up
2,[ 0.58882606  0.3407304  -0.81143302],[ 0.35413831  0.3338322  -0.80583423],[ 0.65536916  0.60085583 -0.81679493],[ 0.29657492  0.60747766 -0.84289402],[ 0.64354348  0.89413661 -0.9354952 ],[ 0.31317011  0.89126164 -0.96213365],[ 0.54257435  0.63760245 -0.00598966],[0.42553976 0.62362248 0.0054022 ],[0.53732246 0.66449499 0.64495575],[0.42138624 0.66424477 0.66306263],[0.52593845 0.61330175 1.38565361],[0.43062699 0.60091019 1.38390756],2,90,Push-up
3,[ 0.59115797  0.36753953 -0.81404155],[ 0.34942406  0.3719776  -0.80281389],[ 0.67065263  0.60877979 -0.79575866],[ 0.28026289  0.62035668 -0.82582361],[ 0.64355457  0.89487445 -0.89220166],[ 0.31024769  0.89128935 -0.94622892],[ 0.54270208  0.65237218 -0.00634569],[0.42451721 0.6375193  0.00576364],[0.53763688 0.66718167 0.64523947],[0.42621395 0.65945613 0.66091132],[0.52414823 0.6162833  1.37610388],[0.43264219 0.60196877 1.38224173],3,90,Push-up
4,[ 0.59595317  0.440593   -0.82069153],[ 0.34069362  0.45242694 -0.80318755],[ 0.69583631  0.63177168 -0.71590465],[ 0.26297984  0.64254284 -0.69931978],[ 0.64394116  0.89486706 -0.76395822],[ 0.30923599  0.89152908 -0.73456001],[ 0.54632461  0.69196719 -0.00888682],[0.42486909 0.68558145 0.00849743],[0.53913581 0.70415533 0.65036458],[0.44194895 0.71938622 0.65691298],[0.52469695 0.65508807 1.36314023],[0.45124415 0.64704865 1.3704946 ],4,90,Push-up
5,[ 0.59600955  0.47662044 -0.82212031],[ 0.33570859  0.49434453 -0.79687697],[ 0.70687866  0.64028656 -0.71029007],[ 0.24956794  0.65797544 -0.63422489],[ 0.64431471  0.89495903 -0.76896161],[ 0.3062228   0.89113462 -0.64785153],[ 0.54999697  0.71682209 -0.01414559],[0.42523804 0.71369427 0.0140802 ],[0.54396957 0.71932662 0.61887974],[0.45042074 0.742993   0.63684458],[0.52786493 0.6727441  1.28426993],[0.46572351 0.66992897 1.30515313],5,90,Push-up
6,[ 0.59748995  0.48700303 -0.81953156],[ 0.3352862   0.49981084 -0.79370779],[ 0.70914733  0.64436179 -0.72287965],[ 0.246985    0.66047072 -0.67087638],[ 0.64440417  0.89508623 -0.79649025],[ 0.30599728  0.89184994 -0.71747178],[ 0.55181253  0.72941941 -0.01518166],[0.42544141 0.71754009 0.01512522],[0.54407746 0.72659028 0.61075872],[0.44586143 0.73209894 0.62803304],[0.52851212 0.68815815 1.27728844],[0.46619958 0.6862039  1.29582429],6,90,Push-up
7,[ 0.59709752  0.5162524  -0.82659012],[ 0.33265257  0.54171646 -0.79391032],[ 0.71179652  0.65009248 -0.69091326],[ 0.2394446   0.6645655  -0.60660923],[ 0.64440185  0.8946647  -0.73352301],[ 0.30563131  0.8919481  -0.61239994],[ 0.55597627  0.73954892 -0.01630785],[0.42558756 0.73187882 0.01639652],[0.55471319 0.74554867 0.5929938 ],[0.44391406 0.74293828 0.61413401],[0.5473811  0.7141391  1.24526811],[0.47484404 0.71997631 1.26605272],7,90,Push-up
8,[ 0.59495014  0.54758841 -0.76896453],[ 0.33331645  0.58468598 -0.71162683],[ 0.71907115  0.65210509 -0.59710944],[ 0.23317257  0.67277044 -0.48588371],[ 0.64465648  0.89430964 -0.58983546],[ 0.30493787  0.89246756 -0.47463271],[ 0.55955535  0.76965946 -0.02103809],[0.42654246 0.77070999 0.02114146],[0.55991173 0.75924349 0.56144297],[0.45286179 0.76009983 0.59573305],[0.54712659 0.70516223 1.17332447],[0.47690439 0.69288141 1.21231675],8,90,Push-up
9,[ 0.598378    0.61558104 -0.72550517],[ 0.33248022  0.63715774 -0.68338746],[ 0.72772104  0.66668034 -0.53552574],[ 0.22777873  0.67766905 -0.46916202],[ 0.64445871  0.89414924 -0.48435739],[ 0.30433908  0.89270943 -0.45523518],[ 0.56305408  0.77213514 -0.01924747],[0.42609555 0.75441009 0.0193737 ],[0.55800778 0.68437123 0.50791961],[0.45150313 0.67932338 0.54398036],[0.54686397 0.55778903 1.02842212],[0.47379434 0.55567122 1.06670201],9,90,Push-up
