,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,frame_id,video_id,exercise_label
0,[0.48319772 0.36490777 0.06560902],[ 0.32536384  0.33015543 -0.21298358],[0.4824374  0.6317637  0.01147662],[ 0.26491493  0.56863856 -0.31746948],[ 0.50727636  0.56381184 -0.2279297 ],[ 0.41014224  0.57149076 -0.38028237],[0.40598115 0.79549551 0.06971613],[ 0.31453583  0.79404247 -0.06875465],[0.38770536 1.09734249 0.16139524],[0.30095324 1.09402013 0.04452242],[0.35475692 1.32342887 0.54948723],[0.2644158  1.34345913 0.35092846],0,150,Tricep Pushdown
1,[0.48316255 0.37181762 0.07279091],[ 0.32466426  0.33224708 -0.25531247],[0.47805393 0.63422674 0.0571819 ],[ 0.26589584  0.56652707 -0.43545273],[ 0.50725526  0.56907672 -0.17077763],[ 0.40999025  0.56710541 -0.5567928 ],[0.40155753 0.83169609 0.08799738],[ 0.31013528  0.81786549 -0.08706415],[0.38354504 1.13766468 0.15988712],[0.2993708  1.14540255 0.07772635],[0.35230106 1.39344954 0.41629443],[0.26406634 1.41952336 0.35129115],1,150,Tricep Pushdown
2,[0.48236284 0.37334913 0.08734397],[ 0.32434776  0.33423418 -0.2651712 ],[0.4782016  0.61371917 0.06852724],[ 0.26862964  0.56610972 -0.44562912],[ 0.51027769  0.55267757 -0.14927898],[ 0.4110994   0.55238813 -0.52111739],[0.39891958 0.84394133 0.09780226],[ 0.3081333   0.83215088 -0.09696475],[0.38369322 1.1555264  0.15477279],[0.29841813 1.16539645 0.07627407],[0.35149318 1.42342377 0.35405314],[0.26471841 1.44419062 0.3210327 ],2,150,Tricep Pushdown
3,[0.47941065 0.37812698 0.0990181 ],[ 0.3243469   0.33528146 -0.25946873],[0.47837064 0.60569924 0.07492689],[ 0.27041155  0.56616724 -0.44414154],[ 0.51391041  0.54210436 -0.13996738],[ 0.41374886  0.54213834 -0.50047332],[0.39705461 0.8609587  0.09884384],[ 0.30560532  0.84558141 -0.09789123],[0.3836455  1.17339802 0.12240914],[0.29672912 1.18473792 0.0921755 ],[0.35150808 1.44811821 0.29733685],[0.26467824 1.46677744 0.33512267],3,150,Tricep Pushdown
4,[0.47949246 0.38227916 0.09644727],[ 0.32422698  0.3359257  -0.25657591],[0.47850081 0.6085214  0.06196945],[ 0.27065906  0.56594467 -0.4597252 ],[ 0.51367617  0.54225433 -0.15986983],[ 0.41400978  0.53878719 -0.57281792],[0.39717489 0.86605793 0.0949019 ],[ 0.3047744   0.85016936 -0.09395172],[0.38402957 1.17548668 0.11475207],[0.29731655 1.19288492 0.0840628 ],[0.35297349 1.44524574 0.30121571],[0.26725873 1.4796046  0.31241617],4,150,Tricep Pushdown
5,[0.47952831 0.38337395 0.10600843],[ 0.32420778  0.33635637 -0.24361666],[0.48340312 0.60161668 0.06005637],[ 0.27172375  0.56797004 -0.44135728],[ 0.51365197  0.53912562 -0.16910478],[ 0.41394371  0.54008651 -0.54571778],[0.39742783 0.86751962 0.09274338],[ 0.30403787  0.85213417 -0.09178551],[0.38407961 1.1804322  0.09761149],[0.29743207 1.19077528 0.07840218],[0.35391301 1.45691729 0.26338792],[0.26926994 1.47897661 0.28429773],5,150,Tricep Pushdown
6,[0.48071256 0.38514039 0.10431848],[ 0.32376406  0.33931828 -0.23959534],[0.49660414 0.58855641 0.0481726 ],[ 0.27193978  0.57175004 -0.43652794],[ 0.51428574  0.53951645 -0.21351805],[ 0.41447735  0.54091382 -0.53629249],[0.39763007 0.87274665 0.09156585],[ 0.30221003  0.85523605 -0.09064256],[0.38390273 1.18865645 0.08565898],[0.29742578 1.19187927 0.07664476],[0.35481226 1.47096467 0.26022425],[0.26949412 1.48301661 0.29396421],6,150,Tricep Pushdown
7,[0.48227721 0.38647869 0.11797047],[ 0.3235842   0.3399103  -0.24344639],[0.49704987 0.59100378 0.083098  ],[ 0.27251551  0.57855999 -0.4083254 ],[ 0.51478666  0.55317414 -0.15874273],[ 0.4191483   0.55433106 -0.41941455],[0.39778212 0.87615162 0.09308   ],[ 0.30136004  0.85872048 -0.09199543],[0.38417882 1.19629574 0.09276056],[0.29956892 1.19876599 0.0809423 ],[0.35771051 1.48072374 0.27051514],[0.27404934 1.49234343 0.31730714],7,150,Tricep Pushdown
8,[0.4870809  0.39163888 0.10726699],[ 0.32343781  0.34227484 -0.26776141],[0.50825918 0.6171875  0.07268044],[ 0.27243233  0.58514899 -0.41249511],[ 0.51468182  0.58308989 -0.16904002],[ 0.41630366  0.58127743 -0.45079538],[0.39786756 0.8862735  0.09274615],[ 0.30075133  0.86263168 -0.09162388],[0.38418487 1.20773017 0.11530776],[0.29786414 1.20679927 0.10052703],[0.35764122 1.49644673 0.30227193],[0.27222711 1.50240731 0.37852383],8,150,Tricep Pushdown
9,[0.48986739 0.39595038 0.07577622],[ 0.32281664  0.34659302 -0.28408846],[0.5110057  0.64167255 0.07224558],[ 0.27180815  0.59433359 -0.38581049],[ 0.51464933  0.60546041 -0.1904352 ],[ 0.41240469  0.60712594 -0.38610956],[0.39809451 0.88721597 0.09230067],[ 0.30039433  0.86624259 -0.09115355],[0.38518244 1.21212268 0.12644351],[0.29787779 1.21564543 0.13992186],[0.35950235 1.50026155 0.30476174],[0.27249882 1.50850022 0.45831701],9,150,Tricep Pushdown
